0	1560	1779	1762	1466	1438	1183	1153	1581	1493	1411	1384	1288	1129	1066	1447	1455	1362	1366	1260	1065	869	1171	1319	1195	1011	900	655	737	1148	
1	57	91	109	58	43	61	29	60	82	77	95	56	16	38	109	84	85	114	39	59	11	53	49	59	70	99	27	47	71	
4	109	31	78	74	61	93	32	41	47	31	39	23	44	54	41	26	42	14	37	52	33	29	33	41	20	38	19	16	28	
5	69	37	31	36	31	36	50	20	23	28	20	18	9	18	18	28	15	0	31	14	17	29	21	2	16	2	21	9	21	
6	31	10	61	16	10	12	36	67	8	5	44	12	29	25	45	79	38	12	38	2	19	2	2	12	7	2	7	18	15	
10	80	61	49	44	14	26	38	34	44	24	45	26	33	17	24	34	36	46	24	22	16	28	47	24	15	9	30	15	36	
11	72	106	34	80	83	49	59	44	35	56	54	86	45	34	48	45	19	58	37	36	40	42	81	25	15	17	15	13	21	
13	31	27	50	11	32	52	13	32	34	18	40	43	22	13	33	5	19	26	18	10	2	26	10	3	15	30	11	5	38	
15	25	31	29	34	21	22	19	24	44	26	62	35	30	25	31	33	37	51	38	24	29	37	27	43	45	19	24	18	24	
18	24	15	23	5	19	12	0	45	13	21	3	24	0	10	9	22	3	22	25	0	0	7	6	5	5	0	8	2	6	
19	26	11	25	25	11	6	2	35	8	7	6	2	11	10	18	46	12	15	27	14	19	4	24	8	7	2	2	16	20	
21	11	48	31	39	19	14	46	58	46	51	22	38	31	64	43	34	18	33	41	26	20	15	28	32	33	34	9	14	45	
22	42	123	60	27	66	17	54	58	57	47	21	74	39	29	44	49	35	43	42	33	29	37	10	53	41	21	13	24	31	
24	26	33	27	19	4	3	12	16	24	15	21	19	16	9	15	16	26	7	5	10	5	11	16	12	13	26	0	3	4	
25	28	34	23	36	15	17	8	23	25	39	32	16	27	20	12	14	7	9	17	8	11	17	5	12	13	11	11	2	13	
38	7	61	43	75	63	25	29	31	66	43	16	38	21	34	39	41	26	20	57	32	8	15	20	24	6	15	4	25	27	
39	55	34	33	37	20	20	36	32	52	18	23	24	38	25	44	30	43	23	47	18	18	36	29	35	39	26	22	14	62	
43	8	46	29	23	17	20	23	32	15	27	32	16	23	15	46	37	40	58	35	35	41	41	55	30	35	36	16	20	30	
45	7	19	19	1	13	11	2	10	8	5	9	2	9	13	10	6	4	1	8	3	0	17	3	4	1	16	18	25	8	
47	26	15	14	15	31	2	16	18	30	9	1	0	10	0	17	10	21	0	0	16	6	0	25	3	0	0	0	16	33	
50	40	37	55	50	34	26	24	51	37	30	37	37	35	35	35	46	72	66	33	25	25	37	35	41	23	18	21	19	15	
52	2	44	38	17	18	36	4	28	37	24	9	10	26	2	5	1	9	8	2	2	1	12	7	6	12	13	2	6	8	
57	32	38	24	27	17	16	24	38	33	19	16	25	17	21	36	32	27	19	11	38	22	41	47	31	31	24	13	20	29	
73	11	14	10	3	12	7	21	27	23	4	6	16	4	2	3	8	7	5	13	3	2	1	1	2	4	7	3	4	7	
75	0	32	28	0	22	2	1	17	0	4	0	11	2	0	6	4	0	0	2	5	7	8	3	3	0	4	8	2	1	
76	29	29	22	21	37	13	20	20	15	21	23	19	16	16	23	24	30	18	23	10	9	14	19	18	18	17	15	14	20	
77	27	27	25	40	23	32	23	27	9	31	33	21	17	17	19	32	38	16	16	9	10	31	17	17	24	18	16	7	24	
82	6	15	41	22	14	15	11	20	31	16	30	9	25	4	9	0	24	24	22	21	4	12	6	18	7	3	0	14	3	
84	3	4	8	6	2	13	0	2	4	6	6	15	6	4	8	8	6	10	14	8	4	12	11	21	4	3	8	8	8	
87	9	26	31	19	14	26	14	44	20	20	9	11	18	23	21	9	12	19	6	21	9	13	4	4	4	16	9	11	18	
88	13	11	28	15	16	15	6	21	9	27	17	16	12	7	19	20	34	29	28	33	6	23	30	13	17	24	7	24	28	
89	10	8	10	9	10	1	14	7	12	10	9	8	1	11	9	9	13	13	7	12	8	9	1	16	7	7	7	1	5	
104	21	28	17	6	31	19	1	16	22	16	41	20	23	18	17	38	32	40	20	28	20	21	18	29	25	15	9	6	6	
105	16	22	30	32	16	13	16	28	29	18	9	9	27	18	18	21	7	18	20	14	17	18	29	30	26	19	24	31	25	
107	1	7	12	8	9	15	9	5	7	14	8	4	7	9	9	4	10	23	3	14	16	3	2	3	0	3	2	0	4	
109	22	15	18	14	18	6	16	7	21	8	11	5	5	7	7	5	15	14	10	2	3	1	20	13	10	10	7	3	14	
121	7	24	5	10	5	7	5	10	10	12	11	14	12	3	17	19	15	12	16	11	17	20	22	8	8	4	8	9	9	
